Comune,PROV,ISTAT,Zona_Climatica,Sottozona,Latitudine,Longitudine,Altitudine
BAGOLINO,BS,17010,F,-,45.825,10.464444444444444,368
BALLABIO,LC,97004,F,-,45.89416666666666,9.423888888888888,568
BARASSO,VA,12008,E,4,45.84111111111111,8.755833333333333,290
BARASSO,VA,12008,E,2,45.84111111111111,8.755833333333333,290
BARBARIGA,BS,17011,E,7,45.407222222222224,10.053333333333335,74
BARBATA,BG,16019,E,6,45.475833333333334,9.77638888888889,92
BARBATA,BG,16019,E,5,45.475833333333334,9.77638888888889,92
BARBIANELLO,PV,18008,E,6,45.07777777777778,9.205555555555556,63
BAREGGIO,MI,15012,E,5,45.47777777777778,8.99611111111111,132
BARGHE,BS,17012,E,3,45.680277777777775,10.406666666666666,277
BARIANO,BG,16020,E,5,45.5125,9.705833333333333,110
BARNI,CO,13015,E,2,45.9125,9.266111111111112,587
BARZAGO,LC,97005,E,4,45.75694444444444,9.315555555555557,274
BARZANA,BG,16021,E,4,45.73777777777778,9.565833333333334,262
BARZIO,LC,97007,F,-,45.948611111111106,9.467777777777778,591
BASIANO,MI,15014,E,5,45.57527777777778,9.468333333333334,154
BASIGLIO,MI,15015,E,5,45.350833333333334,9.165000000000001,95
BASSANO BRESCIANO,BS,17013,E,7,45.32638888888889,10.130277777777778,59
BASTIDA PANCARANA,PV,18011,E,6,45.08833333333334,9.082222222222223,61
BATTUDA,PV,18012,E,6,45.27638888888889,9.075277777777778,93
BEDERO VALCUVIA,VA,12010,E,2,45.914722222222224,8.794166666666667,348
BEDIZZOLE,BS,17014,E,7,45.51166666666666,10.421388888888888,135
BEDULITA,BG,16022,E,3,45.79694444444444,9.545277777777777,350
BELGIOIOSO,PV,18013,E,6,45.16138888888889,9.313611111111111,55
BELLAGIO,CO,13250,E,2,45.98916666666667,9.26361111111111,199
BELLANO,LC,97008,E,2,46.044444444444444,9.303611111111111,199
BELLINZAGO LOMBARDO,MI,15016,E,5,45.53972222222222,9.447222222222223,126
BEMA,SO,14006,F,-,46.11138888888889,9.565555555555557,344
BENE LARIO,CO,13021,E,2,46.030277777777776,9.184722222222222,276
BERBENNO,BG,16023,F,-,45.81583333333333,9.567499999999999,350
BERBENNO DI VALTELLINA,SO,14007,E,1,46.17111111111111,9.741666666666665,258
BEREGAZZO CON FIGLIARO,CO,13022,E,4,45.780833333333334,8.946111111111112,390
BEREGUARDO,PV,18014,E,6,45.25888888888889,9.025277777777779,68
BERGAMO,BG,16024,E,4,45.70027777777778,9.668888888888889,211
BERLINGO,BS,17015,E,7,45.503055555555555,10.0375,118
BERNATE TICINO,MI,15019,E,5,45.4775,8.816944444444443,112
BERTONICO,LO,98002,E,6,45.236666666666665,9.67,48
BERZO DEMO,BS,17016,F,-,46.095,10.333055555555555,440
BERZO INFERIORE,BS,17017,E,3,45.93444444444444,10.280000000000001,300
BERZO SAN FERMO,BG,16025,E,3,45.72027777777778,9.897499999999999,300
BESANO,VA,12011,E,4,45.88972222222222,8.889166666666666,271
BESATE,MI,15022,E,5,45.31222222222222,8.967777777777778,75
BESNATE,VA,12012,E,4,45.70111111111111,8.765555555555556,265
BESOZZO,VA,12013,E,4,45.85,8.66861111111111,193
BIANDRONNO,VA,12014,E,4,45.82222222222222,8.711388888888887,235
BIANZANO,BG,16026,E,3,45.775277777777774,9.921111111111111,475
BIANZONE,SO,14008,E,1,46.18888888888888,10.1075,378
BIENNO,BS,17018,E,3,45.93555555555555,10.298333333333334,375
BINAGO,CO,13023,E,4,45.78583333333333,8.921111111111111,370
BINASCO,MI,15024,E,5,45.33388888888889,9.102777777777778,98
BIONE,BS,17019,F,-,45.67583333333333,10.34138888888889,341
BISUSCHIO,VA,12015,E,4,45.87583333333333,8.87138888888889,325
BIZZARONE,CO,13024,E,4,45.83694444444445,8.942777777777778,348
BLELLO,BG,16027,F,-,45.83722222222222,9.567499999999999,500
BLESSAGNO,CO,13025,F,-,45.96055555555556,9.0975,675
BLEVIO,CO,13026,E,4,45.84305555555556,9.106666666666666,199
BLEVIO,CO,13026,E,2,45.84305555555556,9.106666666666666,199
BODIO LOMNAGO,VA,12016,E,4,45.78388888888889,8.751944444444444,238
BOFFALORA SOPRA TICINO,MI,15026,E,5,45.467777777777776,8.832222222222223,107
BOLGARE,BG,16028,E,5,45.63472222222222,9.815000000000001,170
BOLGARE,BG,16028,E,4,45.63472222222222,9.815000000000001,170
BOLLATE,MI,15027,E,5,45.545833333333334,9.117777777777778,140
BOLTIERE,BG,16029,E,5,45.600833333333334,9.58,159
BONATE SOPRA,BG,16030,E,4,45.683055555555555,9.55888888888889,195
BONATE SOTTO,BG,16031,E,5,45.6675,9.561666666666667,177
BONATE SOTTO,BG,16031,E,4,45.6675,9.561666666666667,177
BONEMERSE,CR,19006,E,7,45.11388888888889,10.079722222222221,35
BORDOLANO,CR,19007,E,7,45.29388888888889,9.987222222222222,45
BORGARELLO,PV,18015,E,6,45.2425,9.143055555555556,86
BORGHETTO LODIGIANO,LO,98004,E,6,45.21527777777778,9.5,60
BORGO DI TERZO,BG,16032,E,3,45.723333333333336,9.892222222222221,290
BORGO PRIOLO,PV,18016,E,8,44.967222222222226,9.149166666666666,104
BORGO SAN GIACOMO,BS,17020,E,7,45.350833333333334,9.96888888888889,46
BORGO SAN GIOVANNI,LO,98005,E,6,45.28055555555555,9.433333333333334,68
BORGO SAN SIRO,PV,18018,E,6,45.23722222222222,8.913333333333334,70
BORGORATTO MORMOROLO,PV,18017,F,-,44.9325,9.193611111111112,177
BORGOSATOLLO,BS,17021,E,7,45.47777777777778,10.241388888888888,105
BORMIO,SO,14009,F,-,46.46888888888889,10.371944444444445,1152
BORNASCO,PV,18019,E,6,45.269999999999996,9.219722222222222,77
BORNASCO,PV,18019,E,5,45.269999999999996,9.219722222222222,77
BORNO,BS,17022,F,-,45.94888888888889,10.2075,605
BOSISIO PARINI,LC,97009,E,4,45.803888888888885,9.290277777777778,258
BOSNASCO,PV,18020,E,8,45.06638888888889,9.359166666666667,84
BOSNASCO,PV,18020,E,6,45.06638888888889,9.359166666666667,84
BOSSICO,BG,16033,F,-,45.82944444444445,10.0425,600
BOTTANUCO,BG,16034,E,4,45.64138888888889,9.504444444444445,148
BOTTICINO,BS,17023,E,7,45.54555555555555,10.322222222222223,137
BOTTICINO,BS,17023,E,3,45.54555555555555,10.322222222222223,137
BOVEGNO,BS,17024,F,-,45.79555555555555,10.273611111111112,521
BOVEZZO,BS,17025,E,7,45.59444444444445,10.244444444444444,184
BOVEZZO,BS,17025,E,3,45.59444444444445,10.244444444444444,184
BOZZOLO,MN,20007,E,7,45.10416666666667,10.484166666666665,21
BRACCA,BG,16035,E,3,45.82611111111112,9.707777777777777,350
BRALLO DI PREGOLA,PV,18021,F,-,44.73972222222222,9.28138888888889,375
BRANDICO,BS,17026,E,7,45.455000000000005,10.052777777777779,92
BRANZI,BG,16036,F,-,46.00611111111111,9.760555555555555,780
BRAONE,BS,17027,E,3,45.99055555555556,10.345277777777778,294
BREBBIA,VA,12017,E,4,45.82972222222222,8.649444444444445,193
BREGNANO,CO,13028,E,4,45.69833333333333,9.060833333333335,249
BREMBATE,BG,16037,E,5,45.60444444444445,9.556666666666667,139
BREMBATE DI SOPRA,BG,16038,E,4,45.72083333333334,9.584444444444445,221
BREMBIO,LO,98006,E,6,45.21611111111111,9.571388888888889,60
BREME,PV,18022,E,6,45.12833333333333,8.623333333333333,95
BRENNA,CO,13029,E,4,45.745,9.186666666666667,287
BRENO,BS,17028,F,-,45.9575,10.303055555555556,294
BRENTA,VA,12019,E,4,45.894444444444446,8.68388888888889,250
BRENTA,VA,12019,E,2,45.894444444444446,8.68388888888889,250
BRESCIA,BS,17029,E,7,45.54083333333333,10.220555555555556,104
BRESCIA,BS,17029,E,3,45.54083333333333,10.220555555555556,104
BRESSANA BOTTARONE,PV,18023,E,6,45.07972222222222,9.134444444444444,62
BRESSO,MI,15032,E,5,45.538333333333334,9.188333333333334,140
BREZZO DI BEDERO,VA,12020,E,2,45.980000000000004,8.718333333333334,193
BRIENNO,CO,13030,E,2,45.91361111111111,9.131944444444445,199
BRINZIO,VA,12021,E,4,45.89055555555556,8.789444444444444,400
BRINZIO,VA,12021,E,2,45.89055555555556,8.789444444444444,400
BRIONE,BS,17030,F,-,45.64083333333333,10.142222222222221,320
BRIONE,BS,17030,F,-,45.64083333333333,10.142222222222221,320
BRIVIO,LC,97010,E,4,45.742222222222225,9.4475,194
BRONI,PV,18024,E,8,45.06388888888888,9.262222222222222,62
BRONI,PV,18024,E,6,45.06388888888888,9.262222222222222,62
BRUMANO,BG,16041,F,-,45.85638888888889,9.5,677
BRUNATE,CO,13032,E,4,45.821111111111115,9.097222222222223,562
BRUNELLO,VA,12023,E,4,45.766666666666666,8.795833333333333,337
BRUSAPORTO,BG,16042,E,4,45.67361111111111,9.760555555555555,223
BRUSIMPIANO,VA,12024,E,2,45.9475,8.889722222222222,271
BUBBIANO,MI,15035,E,6,45.328611111111115,9.014722222222222,100
BUBBIANO,MI,15035,E,5,45.328611111111115,9.014722222222222,100
BUCCINASCO,MI,15036,E,5,45.42361111111111,9.108055555555556,105
BUGLIO IN MONTE,SO,14010,F,-,46.18583333333333,9.675555555555555,262
BUGUGGIATE,VA,12025,E,4,45.7875,8.804722222222223,238
BULCIAGO,LC,97011,E,4,45.75472222222222,9.289444444444444,277
BULGAROGRASSO,CO,13034,E,4,45.75055555555556,9.011111111111111,308
BUSCATE,MI,15038,E,5,45.54555555555555,8.813611111111111,167
BUSSERO,MI,15040,E,5,45.538888888888884,9.373055555555556,134
BUSTO ARSIZIO,VA,12026,E,5,45.61333333333334,8.846388888888889,194
BUSTO ARSIZIO,VA,12026,E,4,45.61333333333334,8.846388888888889,194
BUSTO GAROLFO,MI,15041,E,5,45.546388888888885,8.885,168
CABIATE,CO,13035,E,4,45.676944444444445,9.167499999999999,230
CADORAGO,CO,13036,E,4,45.72694444444445,9.038611111111111,269
CAGLIO,CO,13037,F,-,45.87277777777778,9.238333333333333,623
CAINO,BS,17031,E,3,45.61388888888889,10.317777777777778,307
CAIOLO,SO,14011,F,-,46.151944444444446,9.821666666666667,278
CAIOLO,SO,14011,F,-,46.151944444444446,9.821666666666667,278
CAIRATE,VA,12029,E,4,45.69277777777778,8.8725,233
CALCINATE,BG,16043,E,5,45.61972222222222,9.798055555555555,168
CALCINATE,BG,16043,E,4,45.61972222222222,9.798055555555555,168
CALCINATO,BS,17032,E,7,45.45611111111111,10.413611111111111,108
CALCIO,BG,16044,E,7,45.50833333333333,9.85388888888889,105
